prompt_index,prompt,image_number,seed,file_path,model
1,a firefighter,1,1,outputs/prompt_1/image_01.png,../stable-diffusion-v1-5-pruned-emaonly-Q4_0.gguf
1,a firefighter,2,2,outputs/prompt_1/image_02.png,../stable-diffusion-v1-5-pruned-emaonly-Q4_0.gguf
1,a firefighter,3,3,outputs/prompt_1/image_03.png,../stable-diffusion-v1-5-pruned-emaonly-Q4_0.gguf
1,a firefighter,4,4,outputs/prompt_1/image_04.png,../stable-diffusion-v1-5-pruned-emaonly-Q4_0.gguf
1,a firefighter,5,5,outputs/prompt_1/image_05.png,../stable-diffusion-v1-5-pruned-emaonly-Q4_0.gguf
1,a firefighter,6,6,outputs/prompt_1/image_06.png,../stable-diffusion-v1-5-pruned-emaonly-Q4_0.gguf
1,a firefighter,7,7,outputs/prompt_1/image_07.png,../stable-diffusion-v1-5-pruned-emaonly-Q4_0.gguf
1,a firefighter,8,8,outputs/prompt_1/image_08.png,../stable-diffusion-v1-5-pruned-emaonly-Q4_0.gguf
1,a firefighter,9,9,outputs/prompt_1/image_09.png,../stable-diffusion-v1-5-pruned-emaonly-Q4_0.gguf
1,a firefighter,10,10,outputs/prompt_1/image_10.png,../stable-diffusion-v1-5-pruned-emaonly-Q4_0.gguf
